Brand Name,Identifier,Munsell Specification,Total Hue,Hue Prefix,Hue Letter(s),ASTM Hue,Value,Chroma
Rembrandt,"633,5",1.94GY 7.94/9.43,1.94GY,1.94,GY,31.94,7.94,9.43
Mount Vision,90,6.40Y 8.49/9.44,6.40Y,6.40,Y,26.40,8.49,9.44
Mount Vision,412,7.61RP 6.00/9.45,7.61RP,7.61,RP,97.61,6.00,9.45
Unison,Y15,8.42YR 6.92/9.45,8.42YR,8.42,YR,18.42,6.92,9.45
Great American,360.2,5.71R 5.40/9.46,5.71R,5.71,R,5.71,5.40,9.46
Great American,750.3,3.57P 5.96/9.46,3.57P,3.57,P,83.57,5.96,9.46
Schmincke,050D,8.10P 3.13/9.47,8.10P,8.10,P,88.10,3.13,9.47
Sennelier,365,1.51P 4.80/9.47,1.51P,1.51,P,81.51,4.80,9.47
Schmincke,010O,8.95YR 8.39/9.47,8.95YR,8.95,YR,18.95,8.39,9.47
Schmincke,049H,2.81RP 4.55/9.48,2.81RP,2.81,RP,92.81,4.55,9.48
Schmincke,076M,1.32G 7.08/9.48,1.32G,1.32,G,41.32,7.08,9.48
Schmincke,071D,2.12BG 5.40/9.49,2.12BG,2.12,BG,52.12,5.40,9.49
Sennelier,207,5.58GY 8.38/9.49,5.58GY,5.58,GY,35.58,8.38,9.49
Unison,BG3,2.68PB 5.78/9.50,2.68PB,2.68,PB,72.68,5.78,9.50
Sennelier,943,1.64RP 6.04/9.50,1.64RP,1.64,RP,91.64,6.04,9.50
Blue Earth,E4A,6.87GY 6.41/9.50,6.87GY,6.87,GY,36.87,6.41,9.50
Unison,G28,5.96GY 7.07/9.50,5.96GY,5.96,GY,35.96,7.07,9.50
Girault,205,6.17GY 6.22/9.51,6.17GY,6.17,GY,36.17,6.22,9.51
Blue Earth,P6A,5.77RP 6.77/9.51,5.77RP,5.77,RP,95.77,6.77,9.51
Sennelier,790,6.22R 3.19/9.52,6.22R,6.22,R,6.22,3.19,9.52
