Brand Name,Identifier,Munsell Specification,Total Hue,Hue Prefix,Hue Letter(s),ASTM Hue,Value,Chroma
Blue Earth,B5C,2.87B 7.25/1.37,2.87B,2.87,B,62.87,7.25,1.37
Blue Earth,E1D,9.47GY 2.78/1.38,9.47GY,9.47,GY,39.47,2.78,1.38
Unison,Dark14,7.20P 3.27/1.38,7.20P,7.20,P,87.20,3.27,1.38
Girault,174,3.40GY 7.01/1.38,3.40GY,3.40,GY,33.40,7.01,1.38
Blue Earth,Y1C,4.00YR 2.56/1.39,4.00YR,4.00,YR,14.00,2.56,1.39
Blue Earth,NY2,9.77YR 3.80/1.39,9.77YR,9.77,YR,19.77,3.80,1.39
Great American,350.5,6.92R 6.97/1.39,6.92R,6.92,R,6.92,6.97,1.39
Sennelier,397,7.28YR 2.54/1.40,7.28YR,7.28,YR,17.28,2.54,1.40
Sennelier,402,1.79Y 5.50/1.40,1.79Y,1.79,Y,21.79,5.50,1.40
Sennelier,482,5.27P 6.40/1.40,5.27P,5.27,P,85.27,6.40,1.40
Girault,155,9.16YR 2.25/1.41,9.16YR,9.16,YR,19.16,2.25,1.41
Blue Earth,R1D,7.82R 3.50/1.41,7.82R,7.82,R,7.82,3.50,1.41
Girault,423,6.36PB 6.99/1.41,6.36PB,6.36,PB,76.36,6.99,1.41
Great American,370.5,6.44YR 7.11/1.41,6.44YR,6.44,YR,16.44,7.11,1.41
Schmincke,094M,2.67G 7.65/1.41,2.67G,2.67,G,42.67,7.65,1.41
Great American,340.5,7.12P 7.68/1.41,7.12P,7.12,P,87.12,7.68,1.41
Great American,355.5,5.19GY 7.83/1.41,5.19GY,5.19,GY,35.19,7.83,1.41
Girault,507,5.03Y 2.74/1.42,5.03Y,5.03,Y,25.03,2.74,1.42
Girault,178,8.34GY 3.04/1.42,8.34GY,8.34,GY,38.34,3.04,1.42
Sennelier,951,7.31G 4.55/1.42,7.31G,7.31,G,47.31,4.55,1.42
Blue Earth,NO2,4.22YR 3.65/1.43,4.22YR,4.22,YR,14.22,3.65,1.43
Great American,210.4,6.01YR 6.07/1.43,6.01YR,6.01,YR,16.01,6.07,1.43
Great American,920.5,6.78PB 8.21/1.43,6.78PB,6.78,PB,76.78,8.21,1.43
Great American,175.0,1.93Y 2.78/1.44,1.93Y,1.93,Y,21.93,2.78,1.44
Girault,421,6.56PB 4.90/1.44,6.56PB,6.56,PB,76.56,4.90,1.44
Schmincke,038O,1.57YR 6.42/1.44,1.57YR,1.57,YR,11.57,6.42,1.44
Sennelier,431,8.18YR 6.86/1.44,8.18YR,8.18,YR,18.18,6.86,1.44
Great American,355.3,7.00GY 7.02/1.44,7.00GY,7.00,GY,37.00,7.02,1.44
Blue Earth,T6C,4.85G 7.72/1.44,4.85G,4.85,G,44.85,7.72,1.44
Unison,YGE1,6.02Y 7.93/1.45,6.02Y,6.02,Y,26.02,7.93,1.45
Sennelier,412,7.50YR 1.70/1.46,7.50YR,7.50,YR,17.50,1.70,1.46
Mount Vision,391,8.71G 2.63/1.46,8.71G,8.71,G,48.71,2.63,1.46
Unison,J17,2.13G 5.55/1.46,2.13G,2.13,G,42.13,5.55,1.46
Rembrandt,"409,3",6.00YR 2.87/1.47,6.00YR,6.00,YR,16.00,2.87,1.47
Blue Earth,NP3,6.17R 5.01/1.47,6.17R,6.17,R,6.17,5.01,1.47
Sennelier,154,2.17G 9.02/1.47,2.17G,2.17,G,42.17,9.02,1.47
Mount Vision,423,5.30Y 7.74/1.48,5.30Y,5.30,Y,25.30,7.74,1.48
Blue Earth,NV5,7.91P 6.76/1.49,7.91P,7.91,P,87.91,6.76,1.49
Unison,Grey26,2.76Y 9.21/1.50,2.76Y,2.76,Y,22.76,9.21,1.50
Sennelier,119,1.78Y 9.25/1.50,1.78Y,1.78,Y,21.78,9.25,1.50
Sennelier,190,7.25YR 2.36/1.51,7.25YR,7.25,YR,17.25,2.36,1.51
Rembrandt,"339,10",3.38YR 8.51/1.51,3.38YR,3.38,YR,13.38,8.51,1.51
Girault,235,6.99Y 2.17/1.52,6.99Y,6.99,Y,26.99,2.17,1.52
Rembrandt,"727,7",3.50PB 5.80/1.52,3.50PB,3.50,PB,73.50,5.80,1.52
Sennelier,31,8.91YR 9.19/1.52,8.91YR,8.91,YR,18.91,9.19,1.52
Mount Vision,42,3.43Y 9.26/1.52,3.43Y,3.43,Y,23.43,9.26,1.52
Girault,478,9.12P 2.69/1.53,9.12P,9.12,P,89.12,2.69,1.53
Mount Vision,213,6.20GY 7.75/1.53,6.20GY,6.20,GY,36.20,7.75,1.53
Girault,210,0.67GY 2.23/1.54,0.67GY,0.67,GY,30.67,2.23,1.54
Great American,810.4,0.17YR 6.72/1.54,0.17YR,0.17,YR,10.17,6.72,1.54
Mount Vision,514,5.42PB 1.55/1.55,5.42PB,5.42,PB,75.42,1.55,1.55
Unison,YGE4,0.43G 6.19/1.55,0.43G,0.43,G,40.43,6.19,1.55
Unison,A20,3.39YR 7.29/1.55,3.39YR,3.39,YR,13.39,7.29,1.55
Unison,A43,3.63BG 2.66/1.56,3.63BG,3.63,BG,53.63,2.66,1.56
Blue Earth,NV1,0.55RP 2.70/1.56,0.55RP,0.55,RP,90.55,2.70,1.56
Girault,167,2.08GY 2.96/1.56,2.08GY,2.08,GY,32.08,2.96,1.56
Mount Vision,354,7.95GY 8.64/1.56,7.95GY,7.95,GY,37.95,8.64,1.56
Blue Earth,T2C,8.98G 4.05/1.57,8.98G,8.98,G,48.98,4.05,1.57
Great American,365.6,4.00Y 8.52/1.57,4.00Y,4.00,Y,24.00,8.52,1.57
Sennelier,415,0.86Y 4.12/1.58,0.86Y,0.86,Y,20.86,4.12,1.58
Blue Earth,NR3,1.15YR 4.95/1.58,1.15YR,1.15,YR,11.15,4.95,1.58
Blue Earth,B1D,7.73PB 2.12/1.59,7.73PB,7.73,PB,77.73,2.12,1.59
Rembrandt,"538,3",9.57R 2.62/1.59,9.57R,9.57,R,9.57,2.62,1.59
Mount Vision,231,8.30P 4.58/1.59,8.30P,8.30,P,88.30,4.58,1.59
Schmincke,093H,9.94Y 4.94/1.59,9.94Y,9.94,Y,29.94,4.94,1.59
Mount Vision,792,9.59G 6.21/1.59,9.59G,9.59,G,49.59,6.21,1.59
Blue Earth,NE3,3.21Y 4.93/1.60,3.21Y,3.21,Y,23.21,4.93,1.60
Unison,Grey3,9.24GY 6.18/1.60,9.24GY,9.24,GY,39.24,6.18,1.60
Blue Earth,C6C,3.37B 7.80/1.60,3.37B,3.37,B,63.37,7.80,1.60
Blue Earth,NE7,8.09Y 8.58/1.60,8.09Y,8.09,Y,28.09,8.58,1.60
Rembrandt,"640,2",8.50BG 2.44/1.61,8.50BG,8.50,BG,58.50,2.44,1.61
Rembrandt,"548,2",0.88P 3.04/1.61,0.88P,0.88,P,80.88,3.04,1.61
Blue Earth,NY7,0.58Y 8.67/1.61,0.58Y,0.58,Y,20.58,8.67,1.61
Great American,240.0,1.33RP 2.51/1.62,1.33RP,1.33,RP,91.33,2.51,1.62
Rembrandt,"727,3",0.75PB 3.24/1.62,0.75PB,0.75,PB,70.75,3.24,1.62
Sennelier,65,9.11YR 7.27/1.62,9.11YR,9.11,YR,19.11,7.27,1.62
Mount Vision,183,2.17YR 7.60/1.62,2.17YR,2.17,YR,12.17,7.60,1.62
Girault,338,1.07P 7.60/1.62,1.07P,1.07,P,81.07,7.60,1.62
Sennelier,456,8.09YR 1.68/1.63,8.09YR,8.09,YR,18.09,1.68,1.63
Girault,199,4.64GY 1.79/1.63,4.64GY,4.64,GY,34.64,1.79,1.63
Mount Vision,701,7.23GY 2.94/1.63,7.23GY,7.23,GY,37.23,2.94,1.63
Girault,19,6.01YR 6.06/1.63,6.01YR,6.01,YR,16.01,6.06,1.63
Great American,255.5,4.06B 7.04/1.63,4.06B,4.06,B,64.06,7.04,1.63
Great American,390.5,9.31P 7.39/1.63,9.31P,9.31,P,89.31,7.39,1.63
Girault,57,6.71YR 1.97/1.64,6.71YR,6.71,YR,16.71,1.97,1.64
Great American,255.1,9.38G 4.24/1.64,9.38G,9.38,G,49.38,4.24,1.64
Unison,BGE1,7.24G 7.85/1.64,7.24G,7.24,G,47.24,7.85,1.64
Mount Vision,194,6.93YR 8.88/1.65,6.93YR,6.93,YR,16.93,8.88,1.65
Unison,YGE2,8.36GY 7.62/1.66,8.36GY,8.36,GY,38.36,7.62,1.66
Unison,BG18,2.03G 8.52/1.66,2.03G,2.03,G,42.03,8.52,1.66
Blue Earth,NV4,7.81P 5.72/1.67,7.81P,7.81,P,87.81,5.72,1.67
Great American,235.6,6.86B 7.92/1.67,6.86B,6.86,B,66.86,7.92,1.67
Girault,248,9.30G 7.92/1.67,9.30G,9.30,G,49.30,7.92,1.67
Unison,Light14,4.80PB 8.86/1.67,4.80PB,4.80,PB,74.80,8.86,1.67
Girault,58,5.95YR 2.74/1.68,5.95YR,5.95,YR,15.95,2.74,1.68
Schmincke,038H,1.12YR 5.69/1.68,1.12YR,1.12,YR,11.12,5.69,1.68
Schmincke,038M,1.27YR 5.71/1.68,1.27YR,1.27,YR,11.27,5.71,1.68
Great American,370.4,3.62YR 6.31/1.68,3.62YR,3.62,YR,13.62,6.31,1.68
Schmincke,093M,9.76Y 6.41/1.68,9.76Y,9.76,Y,29.76,6.41,1.68
Schmincke,080M,6.32G 7.19/1.68,6.32G,6.32,G,46.32,7.19,1.68
Blue Earth,P1D,5.56RP 3.01/1.69,5.56RP,5.56,RP,95.56,3.01,1.69
Unison,A39,1.67Y 4.34/1.69,1.67Y,1.67,Y,21.67,4.34,1.69
Sennelier,417,8.29YR 6.36/1.69,8.29YR,8.29,YR,18.29,6.36,1.69
Schmincke,037O,7.17YR 7.89/1.70,7.17YR,7.17,YR,17.17,7.89,1.70
Blue Earth,NE6,6.90Y 7.94/1.70,6.90Y,6.90,Y,26.90,7.94,1.70
Great American,270.6,7.16P 8.43/1.70,7.16P,7.16,P,87.16,8.43,1.70
Rembrandt,"347,2",7.91R 2.49/1.71,7.91R,7.91,R,7.91,2.49,1.71
Blue Earth,T1C,1.17BG 3.08/1.71,1.17BG,1.17,BG,51.17,3.08,1.71
Great American,280.0,3.84BG 3.21/1.71,3.84BG,3.84,BG,53.84,3.21,1.71
Girault,168,1.87GY 3.57/1.71,1.87GY,1.87,GY,31.87,3.57,1.71
Unison,A38,1.23Y 3.37/1.72,1.23Y,1.23,Y,21.23,3.37,1.72
Rembrandt,"727,5",2.28PB 4.31/1.72,2.28PB,2.28,PB,72.28,4.31,1.72
Great American,185.5,3.78Y 7.66/1.72,3.78Y,3.78,Y,23.78,7.66,1.72
Schmincke,092O,6.20RP 5.66/1.73,6.20RP,6.20,RP,96.20,5.66,1.73
Unison,A41,0.58Y 7.21/1.73,0.58Y,0.58,Y,20.58,7.21,1.73
Great American,275.5,0.57R 7.26/1.73,0.57R,0.57,R,0.57,7.26,1.73
Schmincke,084O,7.10GY 8.41/1.73,7.10GY,7.10,GY,37.10,8.41,1.73
Great American,170.5,4.28Y 7.45/1.74,4.28Y,4.28,Y,24.28,7.45,1.74
Unison,A19,2.69YR 7.93/1.74,2.69YR,2.69,YR,12.69,7.93,1.74
Rembrandt,"620,10",9.59Y 8.43/1.74,9.59Y,9.59,Y,29.59,8.43,1.74
Great American,210.3,6.57YR 5.08/1.75,6.57YR,6.57,YR,16.57,5.08,1.75
Blue Earth,NP4,6.54R 5.89/1.75,6.54R,6.54,R,6.54,5.89,1.75
Sennelier,75,0.20YR 1.91/1.76,0.20YR,0.20,YR,10.20,1.91,1.76
Blue Earth,O1D,6.14R 2.95/1.76,6.14R,6.14,R,6.14,2.95,1.76
Girault,401,7.49R 5.55/1.77,7.49R,7.49,R,7.49,5.55,1.77
Mount Vision,232,6.47P 6.03/1.77,6.47P,6.47,P,86.47,6.03,1.77
Great American,375.4,9.08P 8.54/1.77,9.08P,9.08,P,89.08,8.54,1.77
Mount Vision,473,1.22Y 8.68/1.77,1.22Y,1.22,Y,21.22,8.68,1.77
Rembrandt,"227,10",3.38Y 8.87/1.77,3.38Y,3.38,Y,23.38,8.87,1.77
Girault,398,9.67R 3.32/1.79,9.67R,9.67,R,9.67,3.32,1.79
Blue Earth,L3D,6.61Y 4.63/1.79,6.61Y,6.61,Y,26.61,4.63,1.79
Mount Vision,162,2.32Y 6.79/1.79,2.32Y,2.32,Y,22.32,6.79,1.79
Sennelier,409,4.58R 6.92/1.79,4.58R,4.58,R,4.58,6.92,1.79
Great American,210.0,4.95YR 3.16/1.80,4.95YR,4.95,YR,14.95,3.16,1.80
Great American,210.1,5.68YR 3.73/1.80,5.68YR,5.68,YR,15.68,3.73,1.80
Girault,479,7.09P 4.11/1.80,7.09P,7.09,P,87.09,4.11,1.80
Mount Vision,515,2.44P 2.18/1.81,2.44P,2.44,P,82.44,2.18,1.81
Unison,Dark7,8.50BG 2.69/1.81,8.50BG,8.50,BG,58.50,2.69,1.81
Sennelier,200,6.97BG 3.17/1.81,6.97BG,6.97,BG,56.97,3.17,1.81
Rembrandt,"408,3",1.91Y 3.57/1.81,1.91Y,1.91,Y,21.91,3.57,1.81
Unison,BGE17,7.70Y 4.00/1.81,7.70Y,7.70,Y,27.70,4.00,1.81
Unison,Grey11,1.79PB 7.94/1.81,1.79PB,1.79,PB,71.79,7.94,1.81
Sennelier,440,5.77R 8.31/1.81,5.77R,5.77,R,5.77,8.31,1.81
Mount Vision,54,8.30GY 8.90/1.81,8.30GY,8.30,GY,38.30,8.90,1.81
Sennelier,132,0.77Y 9.19/1.81,0.77Y,0.77,Y,20.77,9.19,1.81
Blue Earth,L1C,5.27Y 2.89/1.82,5.27Y,5.27,Y,25.27,2.89,1.82
Schmincke,038B,3.61YR 3.05/1.82,3.61YR,3.61,YR,13.61,3.05,1.82
Unison,A40,0.88Y 5.71/1.82,0.88Y,0.88,Y,20.88,5.71,1.82
Blue Earth,NE4,4.02Y 5.82/1.82,4.02Y,4.02,Y,24.02,5.82,1.82
Mount Vision,113,0.54Y 7.90/1.83,0.54Y,0.54,Y,20.54,7.90,1.83
Great American,260.0,8.64P 2.46/1.84,8.64P,8.64,P,88.64,2.46,1.84
Girault,59,4.77YR 3.42/1.84,4.77YR,4.77,YR,14.77,3.42,1.84
Schmincke,094D,1.09G 4.36/1.84,1.09G,1.09,G,41.09,4.36,1.84
Schmincke,083O,4.90GY 7.91/1.84,4.90GY,4.90,GY,34.90,7.91,1.84
Girault,399,8.48R 4.29/1.85,8.48R,8.48,R,8.48,4.29,1.85
Schmincke,081O,7.21BG 6.07/1.85,7.21BG,7.21,BG,57.21,6.07,1.85
Girault,172,2.83GY 6.16/1.85,2.83GY,2.83,GY,32.83,6.16,1.85
Schmincke,093O,7.54Y 7.21/1.85,7.54Y,7.54,Y,27.54,7.21,1.85
Mount Vision,41,2.85Y 8.92/1.85,2.85Y,2.85,Y,22.85,8.92,1.85
Unison,BGE16,9.29Y 5.15/1.86,9.29Y,9.29,Y,29.29,5.15,1.86
Blue Earth,L7D,0.74GY 8.25/1.86,0.74GY,0.74,GY,30.74,8.25,1.86
Sennelier,766,3.27GY 9.36/1.86,3.27GY,3.27,GY,33.27,9.36,1.86
Schmincke,093D,8.32Y 4.18/1.87,8.32Y,8.32,Y,28.32,4.18,1.87
Mount Vision,172,8.51G 6.06/1.87,8.51G,8.51,G,48.51,6.06,1.87
Blue Earth,V6D,3.16R 7.57/1.87,3.16R,3.16,R,3.16,7.57,1.87
Great American,870.6,7.75P 7.61/1.87,7.75P,7.75,P,87.75,7.61,1.87
Unison,Dark16,8.79B 1.89/1.88,8.79B,8.79,B,68.79,1.89,1.88
Unison,BE6,1.20YR 2.72/1.88,1.20YR,1.20,YR,11.20,2.72,1.88
Great American,275.1,6.57RP 2.99/1.88,6.57RP,6.57,RP,96.57,2.99,1.88
Girault,16,4.85YR 4.69/1.88,4.85YR,4.85,YR,14.85,4.69,1.88
Sennelier,454,1.95Y 7.77/1.88,1.95Y,1.95,Y,21.95,7.77,1.88
Unison,BE19,7.17YR 8.46/1.88,7.17YR,7.17,YR,17.17,8.46,1.88
Unison,BGE18,2.21G 3.65/1.89,2.21G,2.21,G,42.21,3.65,1.89
Sennelier,426,1.30Y 3.66/1.89,1.30Y,1.30,Y,21.30,3.66,1.89
Mount Vision,674,8.20YR 7.23/1.89,8.20YR,8.20,YR,18.20,7.23,1.89
Great American,540.6,7.12BG 8.52/1.89,7.12BG,7.12,BG,57.12,8.52,1.89
Unison,A49,8.55B 1.94/1.90,8.55B,8.55,B,68.55,1.94,1.90
Blue Earth,T7B,7.58G 8.55/1.90,7.58G,7.58,G,47.58,8.55,1.90
Blue Earth,V1D,2.27RP 2.90/1.91,2.27RP,2.27,RP,92.27,2.90,1.91
Sennelier,507,4.56GY 2.92/1.91,4.56GY,4.56,GY,34.56,2.92,1.91
Sennelier,166,9.66YR 7.17/1.91,9.66YR,9.66,YR,19.66,7.17,1.91
Schmincke,082O,9.74GY 7.66/1.91,9.74GY,9.74,GY,39.74,7.66,1.91
Mount Vision,604,2.40P 8.68/1.92,2.40P,2.40,P,82.40,8.68,1.92
Mount Vision,143,2.93PB 8.53/1.93,2.93PB,2.93,PB,72.93,8.53,1.93
Girault,376,3.46R 2.25/1.94,3.46R,3.46,R,3.46,2.25,1.94
Great American,175.1,1.58Y 3.11/1.94,1.58Y,1.58,Y,21.58,3.11,1.94
Girault,499,2.36G 2.16/1.96,2.36G,2.36,G,42.36,2.16,1.96
Mount Vision,390,8.24GY 2.62/1.96,8.24GY,8.24,GY,38.24,2.62,1.96
Mount Vision,691,6.21YR 3.33/1.96,6.21YR,6.21,YR,16.21,3.33,1.96
Girault,169,4.46GY 4.46/1.96,4.46GY,4.46,GY,34.46,4.46,1.96
Great American,350.4,1.40Y 6.74/1.96,1.40Y,1.40,Y,21.40,6.74,1.96
Blue Earth,NO7,7.29YR 8.53/1.96,7.29YR,7.29,YR,17.29,8.53,1.96
Schmincke,091B,4.64PB 3.95/1.97,4.64PB,4.64,PB,74.64,3.95,1.97
Blue Earth,R2D,7.73R 4.18/1.97,7.73R,7.73,R,7.73,4.18,1.97
Great American,140.6,3.46YR 8.64/1.97,3.46YR,3.46,YR,13.46,8.64,1.97
Great American,910.5,9.74YR 9.04/1.97,9.74YR,9.74,YR,19.74,9.04,1.97
Great American,910.6,1.24Y 9.28/1.97,1.24Y,1.24,Y,21.24,9.28,1.97
Great American,870.1,0.68RP 2.74/1.98,0.68RP,0.68,RP,90.68,2.74,1.98
Great American,520.5,4.56BG 7.86/1.98,4.56BG,4.56,BG,54.56,7.86,1.98
Unison,A31,7.03P 8.13/1.98,7.03P,7.03,P,87.03,8.13,1.98
Unison,SC17,5.79GY 3.53/2.00,5.79GY,5.79,GY,35.79,3.53,2.00
Rembrandt,"234,2",3.70Y 4.10/2.00,3.70Y,3.70,Y,23.70,4.10,2.00
Unison,Grey32,8.98BG 6.83/2.00,8.98BG,8.98,BG,58.98,6.83,2.00
Rembrandt,"409,10",8.34YR 7.98/2.00,8.34YR,8.34,YR,18.34,7.98,2.00
Mount Vision,324,4.44R 8.71/2.00,4.44R,4.44,R,4.44,8.71,2.00
Mount Vision,384,8.99RP 9.23/2.00,8.99RP,8.99,RP,98.99,9.23,2.00
Mount Vision,2,0.04GY 9.70/2.00,0.04GY,0.04,GY,30.04,9.70,2.00
Mount Vision,392,7.56BG 2.43/2.01,7.56BG,7.56,BG,57.56,2.43,2.01
Girault,61,3.57YR 4.76/2.01,3.57YR,3.57,YR,13.57,4.76,2.01
Sennelier,12,7.20YR 8.99/2.01,7.20YR,7.20,YR,17.20,8.99,2.01
Unison,Light13,6.64P 8.64/2.02,6.64P,6.64,P,86.64,8.64,2.02
Rembrandt,"620,2",9.47Y 2.85/2.03,9.47Y,9.47,Y,29.47,2.85,2.03
Sennelier,430,7.41YR 6.17/2.03,7.41YR,7.41,YR,17.41,6.17,2.03
Mount Vision,835,1.13G 8.36/2.03,1.13G,1.13,G,41.13,8.36,2.03
Sennelier,504,7.87BG 6.47/2.04,7.87BG,7.87,BG,57.87,6.47,2.04
Mount Vision,422,5.09Y 6.50/2.04,5.09Y,5.09,Y,25.09,6.50,2.04
Mount Vision,74,1.48B 8.67/2.04,1.48B,1.48,B,61.48,8.67,2.04
Mount Vision,170,1.46G 3.24/2.05,1.46G,1.46,G,41.46,3.24,2.05
Girault,415,1.41YR 5.81/2.05,1.41YR,1.41,YR,11.41,5.81,2.05
Great American,810.3,0.54YR 5.90/2.05,0.54YR,0.54,YR,10.54,5.90,2.05
Blue Earth,L6D,8.62Y 7.44/2.05,8.62Y,8.62,Y,28.62,7.44,2.05
Unison,A54,8.29B 8.09/2.05,8.29B,8.29,B,68.29,8.09,2.05
Rembrandt,"505,9",2.32PB 8.15/2.05,2.32PB,2.32,PB,72.32,8.15,2.05
Girault,1,3.27YR 2.17/2.06,3.27YR,3.27,YR,13.27,2.17,2.06
Girault,480,5.46P 5.37/2.06,5.46P,5.46,P,85.46,5.37,2.06
Blue Earth,L4D,7.42Y 5.54/2.06,7.42Y,7.42,Y,27.42,5.54,2.06
Great American,165.4,7.19YR 6.31/2.06,7.19YR,7.19,YR,17.19,6.31,2.06
Unison,YGE3,8.99GY 6.95/2.06,8.99GY,8.99,GY,38.99,6.95,2.06
Sennelier,441,3.31R 2.51/2.07,3.31R,3.31,R,3.31,2.51,2.07
Rembrandt,"545,2",1.96RP 3.03/2.07,1.96RP,1.96,RP,91.96,3.03,2.07
Mount Vision,171,3.65G 4.73/2.07,3.65G,3.65,G,43.65,4.73,2.07
Girault,170,2.33GY 5.06/2.07,2.33GY,2.33,GY,32.33,5.06,2.07
Great American,275.4,8.59RP 6.04/2.07,8.59RP,8.59,RP,98.59,6.04,2.07
Blue Earth,P7D,2.35R 8.16/2.07,2.35R,2.35,R,2.35,8.16,2.07
Blue Earth,NO3,4.43YR 4.51/2.08,4.43YR,4.43,YR,14.43,4.51,2.08
Sennelier,308,8.31R 8.49/2.08,8.31R,8.31,R,8.31,8.49,2.08
Great American,945.6,0.96B 9.09/2.08,0.96B,0.96,B,60.96,9.09,2.08
Sennelier,1,7.36R 2.56/2.09,7.36R,7.36,R,7.36,2.56,2.09
Blue Earth,NV2,5.03P 3.82/2.10,5.03P,5.03,P,85.03,3.82,2.10
Great American,270.5,5.65P 7.86/2.10,5.65P,5.65,P,85.65,7.86,2.10
Blue Earth,NP7,8.19R 8.43/2.10,8.19R,8.19,R,8.19,8.43,2.10
Blue Earth,C7B,6.01B 8.53/2.10,6.01B,6.01,B,66.01,8.53,2.10
Mount Vision,434,5.78B 9.12/2.10,5.78B,5.78,B,65.78,9.12,2.10
Blue Earth,R3D,0.47YR 4.84/2.11,0.47YR,0.47,YR,10.47,4.84,2.11
Mount Vision,233,9.16P 7.67/2.11,9.16P,9.16,P,89.16,7.67,2.11
Sennelier,414,5.84YR 3.66/2.12,5.84YR,5.84,YR,15.84,3.66,2.12
Schmincke,082B,8.17GY 4.08/2.12,8.17GY,8.17,GY,38.17,4.08,2.12
Rembrandt,"408,10",3.11Y 6.94/2.12,3.11Y,3.11,Y,23.11,6.94,2.12
Great American,185.4,4.15Y 6.97/2.12,4.15Y,4.15,Y,24.15,6.97,2.12
Unison,A32,3.23P 7.40/2.12,3.23P,3.23,P,83.23,7.40,2.12
Mount Vision,315,5.53YR 8.82/2.12,5.53YR,5.53,YR,15.53,8.82,2.12
Great American,235.0,6.64B 2.57/2.13,6.64B,6.64,B,66.64,2.57,2.13
Sennelier,499,7.69B 2.59/2.13,7.69B,7.69,B,67.69,2.59,2.13
Great American,312.0,6.15PB 5.67/2.13,6.15PB,6.15,PB,76.15,5.67,2.13
Sennelier,2,3.80YR 1.56/2.14,3.80YR,3.80,YR,13.80,1.56,2.14
Girault,485,5.50YR 2.62/2.14,5.50YR,5.50,YR,15.50,2.62,2.14
Blue Earth,V7B,8.79RP 8.74/2.14,8.79RP,8.79,RP,98.79,8.74,2.14
Girault,413,2.32YR 3.73/2.15,2.32YR,2.32,YR,12.32,3.73,2.15
Great American,365.5,5.05Y 8.01/2.15,5.05Y,5.05,Y,25.05,8.01,2.15
Girault,377,3.52R 2.14/2.16,3.52R,3.52,R,3.52,2.14,2.16
Blue Earth,NR4,0.52YR 5.95/2.16,0.52YR,0.52,YR,10.52,5.95,2.16
Schmincke,094H,1.66G 6.49/2.16,1.66G,1.66,G,41.66,6.49,2.16
Great American,355.4,0.39G 7.32/2.16,0.39G,0.39,G,40.39,7.32,2.16
Schmincke,030O,4.18Y 7.58/2.16,4.18Y,4.18,Y,24.18,7.58,2.16
Sennelier,210,8.36GY 2.52/2.17,8.36GY,8.36,GY,38.36,2.52,2.17
Unison,Grey34,4.19B 4.81/2.17,4.19B,4.19,B,64.19,4.81,2.17
Blue Earth,NP5,7.71R 6.71/2.17,7.71R,7.71,R,7.71,6.71,2.17
Unison,NE17,0.83Y 7.58/2.17,0.83Y,0.83,Y,20.83,7.58,2.17
Mount Vision,544,0.10PB 8.43/2.17,0.10PB,0.10,PB,70.10,8.43,2.17
Rembrandt,"227,9",3.36Y 8.65/2.17,3.36Y,3.36,Y,23.36,8.65,2.17
Great American,255.3,5.89BG 5.62/2.18,5.89BG,5.89,BG,55.89,5.62,2.18
Great American,235.5,7.23B 7.23/2.18,7.23B,7.23,B,67.23,7.23,2.18
Unison,Grey25,3.21Y 8.67/2.18,3.21Y,3.21,Y,23.21,8.67,2.18
Mount Vision,64,0.97G 8.79/2.18,0.97G,0.97,G,40.97,8.79,2.18
Girault,412,4.30YR 2.62/2.19,4.30YR,4.30,YR,14.30,2.62,2.19
Rembrandt,"227,2",7.68Y 4.65/2.19,7.68Y,7.68,Y,27.68,4.65,2.19
Schmincke,080H,0.68BG 6.05/2.19,0.68BG,0.68,BG,50.68,6.05,2.19
Great American,255.4,6.52BG 6.34/2.19,6.52BG,6.52,BG,56.52,6.34,2.19
Blue Earth,T5C,6.71G 6.79/2.19,6.71G,6.71,G,46.71,6.79,2.19
Unison,BV7,5.14PB 8.58/2.19,5.14PB,5.14,PB,75.14,8.58,2.19
Unison,A1,4.45PB 8.62/2.19,4.45PB,4.45,PB,74.45,8.62,2.19
Blue Earth,E2D,7.23GY 3.96/2.20,7.23GY,7.23,GY,37.23,3.96,2.20
Rembrandt,"408,9",3.87Y 6.32/2.20,3.87Y,3.87,Y,23.87,6.32,2.20
Blue Earth,C5C,3.60B 6.75/2.20,3.60B,3.60,B,63.60,6.75,2.20
Rembrandt,"339,9",2.60YR 8.19/2.20,2.60YR,2.60,YR,12.60,8.19,2.20
Sennelier,179,0.80BG 1.84/2.21,0.80BG,0.80,BG,50.80,1.84,2.21
Unison,Dark3,4.18YR 2.72/2.21,4.18YR,4.18,YR,14.18,2.72,2.21
Mount Vision,671,3.06P 3.83/2.21,3.06P,3.06,P,83.06,3.83,2.21
Blue Earth,NV3,6.25P 4.87/2.21,6.25P,6.25,P,86.25,4.87,2.21
Rembrandt,"235,2",6.44YR 2.78/2.22,6.44YR,6.44,YR,16.44,2.78,2.22
Great American,210.2,9.44YR 5.21/2.22,9.44YR,9.44,YR,19.44,5.21,2.22
Sennelier,64,0.33Y 5.72/2.22,0.33Y,0.33,Y,20.33,5.72,2.22
Great American,150.4,4.02G 7.23/2.22,4.02G,4.02,G,44.02,7.23,2.22
Unison,BG6,8.46B 8.66/2.22,8.46B,8.46,B,68.46,8.66,2.22
Blue Earth,B7B,1.80PB 8.71/2.22,1.80PB,1.80,PB,71.80,8.71,2.22
Great American,115.0,3.74R 2.58/2.23,3.74R,3.74,R,3.74,2.58,2.23
Great American,125.0,8.79YR 2.78/2.23,8.79YR,8.79,YR,18.79,2.78,2.23
